method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,202,5,5,0,-0.04723455085403825,-0.04723455085403825,0.04723455085403825,0,1430,71.5,1.0,0.06993006993006994,1.234679072010866,0.11808637713509562,0.0,0.0010014100760808646,0.0013604061410909863,0.0010014100760808644,0.0013604061410909859,,,,,,,
rl_policy,202,5,5,0,-0.5297764805148548,-0.5297764805148548,0.5297764805148548,3,1500,75.0,0.4,0.02666666666666667,0.5775214486327908,0.5874846795480066,0.49130434782608695,0.0009950608364076084,0.0013504397065531837,0.0009950608364076084,0.0013504397065531829,0.5066574215888977,0.575869619846344,0.5608314275741577,0.653544008731842,0.49756234884262085,0.5828816294670105,0.5890907049179077
all_closed,202,300,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,300,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,300,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,300,20,0,-0.27107518274560466,-0.27107518274560466,0.27107518274560466,5,1500,75.0,0.75,0.2,0.9081070893980173,0.3513520790014162,0.21755725190839695,0.003504035659635364,0.0054017588262127315,0.003504035659635364,0.0054017588262127315,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495407581329346,0.6088516712188721,0.6045918464660645
all_closed,202,500,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,500,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,500,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,500,20,0,-0.34038635258528255,-0.34038635258528255,0.34038635258528255,6,1500,75.0,0.7,0.18666666666666668,0.8159381669235645,0.41718702362602533,0.2891859052247874,0.003635525841589225,0.005401758826212732,0.003635525841589225,0.0054017588262127315,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388293504714966,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,202,700,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,700,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,700,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,700,20,0,-0.3403951618327553,-0.3403951618327553,0.3403951618327553,6,1500,75.0,0.7,0.18666666666666668,0.8159073345574097,0.41720904674470727,0.2891859052247874,0.003635525841589225,0.005401758826212732,0.003635525841589225,0.0054017588262127315,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,202,900,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,900,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,900,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,900,20,0,-0.3403341394506223,-0.3403341394506223,0.3403341394506223,6,1500,75.0,0.7,0.18666666666666668,0.8161209128948754,0.4170564907893747,0.2891859052247874,0.003635525841589226,0.005401758826212732,0.003635525841589225,0.0054017588262127315,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,202,1000,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,1000,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,1000,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,1000,20,0,-0.34038386673567217,-0.34038386673567217,0.34038386673567217,6,1500,75.0,0.7,0.18666666666666668,0.8159468673972008,0.4171808090019994,0.2891859052247874,0.003635525841589226,0.005401758826212732,0.003635525841589225,0.0054017588262127315,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
